Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
2021-05-21;08:45:05;5;0.453;1016.76;1009.23;425.55;19.122501;1;340422205;2.839;2.673;2.684;43.998;40.672;36.737;
2021-05-21;08:46:05;5;0.453;1016.89;1009.22;419.9;19.128783;1;340422265;2.754;2.593;2.603;44.001;40.672;36.737;
2021-05-21;08:47:05;5;0.453;1016.87;1009.19;421.912;19.123285;1;340422325;2.882;2.714;2.725;43.998;40.666;36.74;
2021-05-21;08:48:05;5;0.453;1017.01;1009.15;429.612;19.122304;1;340422385;2.904;2.734;2.745;44.0;40.662;36.747;
2021-05-21;08:49:05;5;0.453;1017.18;1009.13;419.2;19.122795;1;340422445;2.963;2.79;2.802;44.002;40.657;36.753;
2021-05-21;08:50:05;5;0.453;1016.81;1009.11;428.7;19.125543;1;340422505;2.852;2.685;2.696;43.994;40.642;36.748;
2021-05-21;08:51:05;5;0.453;1016.74;1009.09;416.0;19.123384;1;340422565;2.975;2.8;2.813;44.003;40.636;36.765;
2021-05-21;08:52:05;5;0.453;1016.88;1009.05;427.025;19.123089;1;340422625;2.922;2.751;2.763;44.002;40.621;36.771;
2021-05-21;08:53:05;5;0.453;1016.79;1009.0;428.35;19.11985;1;340422685;2.932;2.76;2.772;43.999;40.616;36.787;
2021-05-21;08:54:05;5;0.453;1016.96;1008.99;402.962;19.129273;1;340422745;2.952;2.779;2.791;44.002;40.596;36.81;
2021-05-21;08:55:05;5;0.453;1016.74;1008.93;416.425;19.124758;1;340422805;2.925;2.753;2.765;43.997;40.585;36.815;
2021-05-21;08:56:05;5;0.453;1016.84;1008.88;429.037;19.124365;1;340422865;3.066;2.886;2.899;44.002;40.569;36.842;
2021-05-21;08:57:05;5;0.453;1016.85;1008.86;423.987;19.126034;1;340422925;2.922;2.751;2.763;44.0;40.555;36.865;
2021-05-21;08:58:05;5;0.453;1016.5;1008.8;428.737;19.122696;1;340422985;2.867;2.699;2.711;43.994;40.537;36.88;
2021-05-21;08:59:05;5;0.453;1016.59;1008.74;438.575;19.12407;1;340423045;2.956;2.782;2.794;43.998;40.518;36.906;
2021-05-21;09:00:05;5;0.453;1016.73;1008.74;426.862;19.122402;1;340423105;2.85;2.683;2.694;43.995;40.499;36.918;
2021-05-21;09:01:05;5;0.453;1016.79;1008.7;430.337;19.122107;1;340423165;2.911;2.739;2.751;43.998;40.484;36.947;
2021-05-21;09:02:05;5;0.452;1016.79;1008.65;427.487;19.127506;1;340423225;2.945;2.772;2.784;44.001;40.464;36.963;
2021-05-21;09:03:05;5;0.453;1016.73;1008.61;412.462;19.125445;1;340423285;2.892;2.722;2.734;43.999;40.445;36.995;
2021-05-21;09:04:05;5;0.453;1016.66;1008.57;424.012;19.123089;1;340423345;2.886;2.716;2.729;44.002;40.428;37.011;
2021-05-21;09:05:05;5;0.453;1016.51;1008.56;428.562;19.120734;1;340423405;2.813;2.647;2.659;43.997;40.412;37.054;
2021-05-21;09:06:05;5;0.452;1016.28;1008.51;440.137;19.129372;1;340423465;2.854;2.685;2.698;43.997;40.391;37.066;
2021-05-21;09:07:05;5;0.452;1016.43;1008.48;435.837;19.123874;1;340423525;2.755;2.593;2.605;44.0;40.378;37.092;
2021-05-21;09:08:05;5;0.452;1016.0;1008.43;443.65;19.129862;1;340423585;2.855;2.687;2.699;43.997;40.363;37.118;
2021-05-21;09:09:05;5;0.452;1016.0;1008.38;439.162;19.12093;1;340423645;2.777;2.613;2.626;44.001;40.347;37.138;
2021-05-21;09:10:05;5;0.452;1016.1;1008.34;435.025;19.119556;1;340423705;2.707;2.547;2.559;44.002;40.322;37.163;
2021-05-21;09:11:05;5;0.452;1016.1;1008.31;437.562;19.125838;1;340423765;2.718;2.557;2.569;44.002;40.306;37.193;
2021-05-21;09:12:05;5;0.452;1016.24;1008.28;415.112;19.117691;1;340423825;2.791;2.626;2.639;44.0;40.289;37.215;
2021-05-21;09:13:05;5;0.452;1016.07;1008.22;437.937;19.121225;1;340423885;2.763;2.599;2.612;43.994;40.268;37.254;
2021-05-21;09:14:05;5;0.452;1015.75;1008.22;449.987;19.118475;1;340423945;2.77;2.606;2.619;43.996;40.249;37.267;
2021-05-21;09:15:05;5;0.452;1016.0;1008.16;442.237;19.120635;1;340424005;2.804;2.638;2.651;43.998;40.232;37.282;
2021-05-21;09:16:05;5;0.452;1015.82;1008.09;422.725;19.123384;1;340424065;2.814;2.647;2.66;44.0;40.216;37.329;
2021-05-21;09:17:05;5;0.452;1016.07;1008.1;419.862;19.127801;1;340424125;2.605;2.45;2.463;44.003;40.201;37.334;
2021-05-21;09:18:05;5;0.451;1016.05;1008.04;430.887;19.123973;1;340424185;2.796;2.63;2.643;44.002;40.188;37.371;
2021-05-21;09:19:05;5;0.451;1016.08;1007.99;439.725;19.120537;1;340424245;2.702;2.541;2.555;44.004;40.166;37.396;
2021-05-21;09:20:05;5;0.451;1015.81;1007.97;452.125;19.116021;1;340424305;2.855;2.685;2.699;44.002;40.154;37.405;
2021-05-21;09:21:05;5;0.451;1015.78;1007.94;427.687;19.118279;1;340424365;2.642;2.484;2.497;44.0;40.141;37.428;
2021-05-21;09:22:05;5;0.451;1015.8;1007.9;443.537;19.119064;1;340424425;2.762;2.598;2.611;44.003;40.132;37.451;
2021-05-21;09:23:05;5;0.451;1015.66;1007.87;409.712;19.11396;1;340424485;2.605;2.45;2.463;43.997;40.112;37.456;
2021-05-21;09:24:05;5;0.451;1015.88;1007.83;454.312;19.12093;1;340424545;2.569;2.416;2.429;44.002;40.103;37.48;
2021-05-21;09:25:05;5;0.451;1015.64;1007.8;463.187;19.114255;1;340424605;2.574;2.42;2.433;43.994;40.09;37.502;
2021-05-21;09:26:05;5;0.451;1015.83;1007.75;465.675;19.118083;1;340424665;2.681;2.521;2.535;43.996;40.066;37.531;
2021-05-21;09:27:05;5;0.451;1015.59;1007.76;451.237;19.118672;1;340424725;2.653;2.494;2.508;43.996;40.063;37.541;
2021-05-21;09:28:05;5;0.451;1015.76;1007.72;439.0;19.115335;1;340424785;2.696;2.535;2.549;43.998;40.052;37.574;
2021-05-21;09:29:05;5;0.451;1015.64;1007.66;446.85;19.12142;1;340424845;2.571;2.417;2.43;44.0;40.04;37.587;
2021-05-21;09:30:05;5;0.451;1015.65;1007.63;446.2;19.117887;1;340424905;2.569;2.415;2.429;44.002;40.032;37.593;
2021-05-21;09:31:05;5;0.451;1015.53;1007.62;451.675;19.120144;1;340424965;2.658;2.499;2.513;43.998;40.015;37.615;
2021-05-21;09:32:05;5;0.451;1015.53;1007.59;462.05;19.127016;1;340425025;2.376;2.233;2.246;44.0;40.001;37.652;
2021-05-21;09:33:05;5;0.451;1015.62;1007.52;462.025;19.114255;1;340425085;2.464;2.316;2.329;43.996;39.995;37.655;
2021-05-21;09:34:05;5;0.451;1015.58;1007.54;432.425;19.111899;1;340425145;2.655;2.496;2.51;44.0;39.982;37.661;
2021-05-21;09:35:05;5;0.45;1015.4;1007.5;410.237;19.116316;1;340425205;2.598;2.442;2.456;44.001;39.976;37.687;
2021-05-21;09:36:05;5;0.451;1015.39;1007.45;448.612;19.119359;1;340425265;2.608;2.451;2.465;44.002;39.959;37.71;
2021-05-21;09:37:05;5;0.45;1015.52;1007.44;462.512;19.122108;1;340425325;2.501;2.351;2.364;44.001;39.947;37.719;
2021-05-21;09:38:05;5;0.451;1015.23;1007.4;467.362;19.110918;1;340425385;2.464;2.316;2.329;44.001;39.946;37.723;
2021-05-21;09:39:05;5;0.45;1015.24;1007.38;473.35;19.109936;1;340425445;2.65;2.491;2.505;43.996;39.93;37.755;
