Datenumtime,Plottedtime,DRB_sensor[ppm],EB_sensor[ppm],Temperature[C],Longitude[decimalDeg],Latitude[decimalDeg]
736259.45287137,0.00238402001559734,15.41130043,17.3,4.363,9.464165,78.562835
736259.45289452,0.00240717001724988,14.694746409,17.3,4.363,9.464185,78.562825
736259.45291767,0.00243032001890242,13.829841744,17.23,4.364,9.4642,78.56281
736259.45294081,0.00245346000883728,12.988303514,17.33,4.366,9.464233,78.562793
736259.45296396,0.00247661001048982,12.40571467,17.35,4.367,9.46425,78.562785
736259.4529871,0.00249975000042468,11.928840174,17.4,4.367,9.464263,78.562777
736259.45301025,0.00252290000207722,11.721757125,17.4,4.368,9.464278,78.562768
736259.4530334,0.00254605000372976,11.797438339,17.35,4.369,9.464283,78.562757
736259.45305654,0.00256918999366462,11.875883331,17.38,4.371,9.464295,78.56275
736259.45307969,0.00259233999531716,12.100158273,17.63,4.372,9.46431,78.562745
736259.45310283,0.00261547998525202,12.355583941,17.45,4.37,9.46435,78.56273
736259.45312598,0.00263862998690456,12.659421124,17.23,4.368,9.46438,78.56272
736259.45314912,0.00266176997683942,12.930711687,17.28,4.365,9.464413,78.562708
736259.45317227,0.00268491997849196,13.133573799,17.15,4.365,9.46446,78.56269
736259.45319542,0.0027080699801445,13.312384664,17.17,4.366,9.464485,78.562675
736259.45321856,0.00273120997007936,13.427714212,17.4,4.366,9.464513,78.56266
736259.45324171,0.0027543599717319,13.42000113,17.37,4.365,9.464543,78.562643
736259.45326485,0.00277749996166676,13.298728921,17.45,4.367,9.464573,78.56263
736259.453288,0.0028006499633193,13.186874617,17.5,4.371,9.464595,78.562615
736259.45331115,0.00282379996497184,13.024641683,17.1,4.371,9.464618,78.562605
736259.45333429,0.0028469399549067,12.856496579,17.15,4.369,9.464635,78.562595
736259.45335744,0.00287008995655924,12.682181189,17.28,4.371,9.46465,78.562583
736259.45338058,0.0028932299464941,12.636434792,17.13,4.374,9.46467,78.562573
736259.45340373,0.00291637994814664,12.63193819,17.45,4.376,9.464697,78.562563
736259.45342687,0.00293952005449682,12.622190106,17.45,4.373,9.46472,78.562555
736259.45345002,0.00296267005614936,12.740527497,17.27,4.369,9.46475,78.562545
736259.45347317,0.0029858200578019,12.879112634,17.2,4.368,9.464783,78.562533
736259.45349631,0.00300896004773676,12.996977333,17.25,4.368,9.464805,78.562525
