Datenumtime,Plottedtime,DRB_sensor[ppm],EB_sensor[ppm],Temperature[C],Longitude[decimalDeg],Latitude[decimalDeg]
736259.49758912,0.0471017699455842,11.431465186,21.53,4.372,9.506515,78.537018
736259.49761227,0.0471249199472368,11.428212194,21.57,4.371,9.506545,78.537005
736259.49763542,0.0471480699488893,11.502665243,21.6,4.371,9.506567,78.536993
736259.49765856,0.0471712100552395,11.496533599,21.53,4.372,9.506593,78.536983
736259.49768171,0.047194360056892,11.485700001,21.43,4.372,9.506623,78.53697
736259.49770485,0.0472175000468269,11.471468994,21.43,4.372,9.506653,78.536953
736259.497728,0.0472406500484794,11.45316128,21.63,4.372,9.506683,78.536943
736259.49775115,0.047263800050132,11.42705824,21.6,4.373,9.506713,78.53693
736259.49777429,0.0472869400400668,11.431992105,21.6,4.375,9.506743,78.536913
736259.49779744,0.0473100900417194,11.403710911,21.8,4.376,9.506767,78.536903
736259.49782058,0.0473332300316542,11.350184144,21.7,4.377,9.50679,78.53689
736259.49784373,0.0473563800333068,11.327276315,21.8,4.378,9.506817,78.536873
736259.49786687,0.0473795200232416,11.227661157,21.53,4.377,9.50684,78.53686
736259.49789002,0.0474026700248942,11.188750401,21.33,4.376,9.506875,78.536843
736259.49791317,0.0474258200265467,11.148182536,21.37,4.378,9.506905,78.53683
736259.49793631,0.0474489600164816,11.087346659,21.5,4.378,9.50692,78.53682
736259.49795946,0.0474721100181341,11.048356038,21.6,4.377,9.50694,78.536807
736259.4979826,0.047495250008069,11.13248453,21.57,4.378,9.50697,78.536793
736259.49800575,0.0475184000097215,11.090043448,21.4,4.379,9.507,78.536783
736259.4980289,0.0475415500113741,11.005798772,21.5,4.378,9.507025,78.536768
736259.49805204,0.0475646900013089,11.024530147,21.47,4.379,9.50704,78.536755
736259.49807519,0.0475878400029615,10.991346697,21.37,4.381,9.50705,78.53674
736259.49809833,0.0476109799928963,10.93744034,21.2,4.38,9.50707,78.536727
736259.49812148,0.0476341299945489,10.859079741,21.3,4.378,9.507087,78.536717
736259.49814462,0.0476572699844837,10.825000505,21.55,4.377,9.507097,78.536707
736259.49816777,0.0476804199861363,10.754621658,21.65,4.376,9.50711,78.536693
736259.49819092,0.0477035699877888,10.7145539,21.47,4.376,9.50713,78.536683
736259.49821406,0.0477267099777237,10.557824053,21.48,4.377,9.50715,78.53667
736259.49823721,0.0477498599793762,10.4528386769,21.53,4.379,9.507163,78.536653
736259.49826035,0.0477729999693111,10.3723517806,21.53,4.381,9.507177,78.536643
736259.4982835,0.0477961499709636,10.2169168501,21.7,4.382,9.50719,78.53663
736259.49830665,0.0478192999726161,10.0236346393,21.43,4.38,9.50721,78.53662
736259.49832979,0.047842439962551,9.8534730233,21.4,4.381,9.507236,78.536604
736259.49835294,0.0478655899642035,9.6840160291,21.4,4.379,9.507255,78.53659
736259.49837608,0.0478887299541384,9.4750446992,21.23,4.379,9.50727,78.53658
736259.49839923,0.0479118799557909,9.2978818221,21.37,4.384,9.507298,78.53656
736259.49842237,0.0479350199457258,9.1230873261,21.2,4.384,9.507325,78.53655
736259.49844552,0.0479581699473783,9.0276743421,21.33,4.381,9.507343,78.536543
736259.49846867,0.0479813199490309,8.8822077342,21.4,4.376,9.50738,78.536525
736259.49849181,0.0480044600553811,8.7635497809,21.4,4.373,9.507405,78.53651
736259.49851496,0.0480276100570336,8.6158294506,21.4,4.37,9.50742,78.536503
736259.4985381,0.0480507500469685,8.6178519869,21.5,4.37,9.50745,78.53649
736259.49856125,0.048073900048621,8.6152110654,21.33,4.37,9.50748,78.536477
736259.4985844,0.0480970500502735,8.6006095426,21.33,4.369,9.5075,78.536467
736259.49860754,0.0481201900402084,8.5609562891,21.1,4.369,9.50752,78.536455
736259.49863069,0.0481433400418609,8.5222704257,20.97,4.369,9.507553,78.536443
736259.49865383,0.0481664800317958,8.4900793522,20.97,4.371,9.50758,78.536427
736259.49867698,0.0481896300334483,8.4327320591,21.1,4.373,9.5076,78.536417
736259.49870012,0.0482127700233832,8.4114808631,21.07,4.373,9.507627,78.536403
736259.49872327,0.0482359200250357,8.4043675437,21.13,4.375,9.507657,78.53639
736259.49874642,0.0482590700266883,8.3895530408,21.27,4.379,9.507677,78.536377
736259.49876956,0.0482822100166231,8.299915015,21.13,4.382,9.507703,78.536363
736259.49879271,0.0483053600182757,8.2724608213,21.1,4.385,9.50773,78.53635
736259.49881585,0.0483285000082105,8.252543435,21.07,4.387,9.507747,78.53634
736259.498839,0.0483516500098631,8.3623625761,20.98,4.386,9.50777,78.536323
736259.49886215,0.0483748000115156,8.5609125415,20.9,4.384,9.507795,78.53631
736259.49888529,0.0483979400014505,8.773664281,21.1,4.379,9.507803,78.536303
736259.49890844,0.048421090003103,8.9449682471,21.25,4.376,9.50783,78.536285
736259.49893158,0.0484442299930379,9.2037077031,21.2,4.375,9.507855,78.53627
736259.49895473,0.0484673799946904,9.4584038581,21.1,4.373,9.50787,78.53626
736259.49897787,0.0484905199846253,9.7863205468,21.07,4.371,9.507887,78.536247
736259.49900102,0.0485136699862778,10.0859169691,21.07,4.368,9.507903,78.536237
736259.49902417,0.0485368199879304,10.3892765773,20.63,4.368,9.50793,78.536223
736259.49904731,0.0485599599778652,10.6296184106,21.1,4.373,9.507957,78.53621
736259.49907046,0.0485831099795178,10.7844105689,20.97,4.38,9.50798,78.536197
736259.4990936,0.0486062499694526,10.841836112,20.93,4.38,9.508,78.536183
736259.49911675,0.0486293999711052,10.858777167,21,4.379,9.50802,78.53617
736259.4991399,0.0486525499727577,10.882332809,21.03,4.381,9.50804,78.536153
736259.49916304,0.0486756899626926,10.991772151,21,4.385,9.50806,78.536143
736259.49918619,0.0486988399643451,10.97835353,21.1,4.385,9.50808,78.53613
736259.49920933,0.04872197995428,10.929385126,21.03,4.386,9.508105,78.536113
736259.49923248,0.0487451299559325,10.94575848,20.95,4.387,9.50812,78.536105
736259.49925562,0.0487682699458674,10.896363506,21.1,4.388,9.508137,78.536093
736259.49927877,0.0487914199475199,10.939439467,21.1,4.388,9.50816,78.53608
736259.49930192,0.0488145699491724,10.922236021,21.03,4.382,9.50817,78.536065
736259.49932506,0.0488377100555226,10.8159364296,21.03,4.374,9.50818,78.536057
736259.49934821,0.0488608600571752,10.670326329,20.97,4.368,9.5082,78.536043
736259.49937135,0.04888400004711,10.4714826406,20.9,4.361,9.508213,78.536033
736259.4993945,0.0489071500487626,10.2378587655,20.9,4.363,9.50823,78.53602
736259.49941765,0.0489303000504151,10.0281112208,20.87,4.37,9.50825,78.536007
736259.49944079,0.04895344004035,9.8363740606,21.1,4.375,9.50826,78.535993
736259.49946394,0.0489765900420025,9.6583592529,20.9,4.37,9.508273,78.53598
736259.49948708,0.0489997300319374,9.4982008533,20.77,4.361,9.5083,78.535967
736259.49951023,0.0490228800335899,9.3474631907,20.87,4.359,9.50832,78.535957
736259.49953337,0.0490460200235248,9.187789498,20.87,4.361,9.508333,78.535947
736259.49955652,0.0490691700251773,9.1725651611,20.73,4.364,9.50835,78.53593
736259.49957967,0.0490923200268298,9.1775982282,20.83,4.361,9.50837,78.535917
736259.49960281,0.0491154600167647,9.2182174398,20.8,4.361,9.50839,78.535907
736259.49962596,0.0491386100184172,9.1729874556,20.8,4.359,9.508413,78.535893
736259.4996491,0.0491617500083521,9.1890767615,20.73,4.358,9.50843,78.53588
736259.49967225,0.0491849000100046,9.1763908445,20.63,4.356,9.508435,78.535865
736259.4996954,0.0492080500116572,9.149982575,20.65,4.349,9.508447,78.535857
736259.49971854,0.049231190001592,9.1326826885,20.73,4.347,9.508468,78.53584
736259.49974169,0.0492543400032446,9.0969850544,20.83,4.348,9.508495,78.53583
736259.49976483,0.0492774799931794,9.0999215014,20.73,4.347,9.508507,78.53582
736259.49978798,0.049300629994832,9.1270388056,20.73,4.343,9.50851,78.535807
736259.49981112,0.0493237699847668,9.1599019128,20.77,4.339,9.508507,78.53579
736259.49983427,0.0493469199864194,9.21986358,20.8,4.338,9.508513,78.535777
736259.49985742,0.0493700699880719,9.2418809553,20.6,4.339,9.508527,78.535763
736259.49988056,0.0493932099780068,9.3438829116,20.27,4.342,9.508537,78.53575
736259.49990371,0.0494163599796593,9.4435115493,20.57,4.341,9.50854,78.53574
736259.49992685,0.0494394999695942,9.5394368575,20.9,4.339,9.508548,78.535725
736259.49995,0.0494626499712467,9.6093742659,20.73,4.343,9.508563,78.535705
736259.49997315,0.0494857999728993,9.6994816556,20.67,4.361,9.508575,78.535695
736259.49999629,0.0495089399628341,9.7347883335,20.67,4.363,9.50859,78.535683
736259.50001944,0.0495320899644867,9.7076379979,20.58,4.365,9.508603,78.535673
736259.50004258,0.0495552299544215,9.7040767061,20.3,4.369,9.508617,78.53566
736259.50006573,0.0495783799560741,9.7116482944,20.37,4.37,9.508627,78.535647
736259.50008887,0.0496015199460089,9.746649244,20.58,4.365,9.508648,78.535633
736259.50011202,0.0496246699476615,9.7421297011,20.65,4.366,9.508675,78.53562
736259.50013517,0.049647819949314,9.6503550143,20.53,4.37,9.508697,78.535613
736259.50015831,0.0496709600556642,9.5972945194,20.47,4.367,9.50872,78.535603
736259.50018146,0.0496941100573167,9.5192392661,20.57,4.354,9.508743,78.53559
736259.5002046,0.0497172500472516,9.4339917154,20.63,4.344,9.508763,78.535577
736259.50022775,0.0497404000489041,9.4009965502,20.6,4.353,9.508783,78.535567
736259.5002509,0.0497635500505567,9.3550698339,20.5,4.362,9.50881,78.535553
736259.50027404,0.0497866900404915,9.2467470998,20.53,4.354,9.50883,78.535543
736259.50029719,0.0498098400421441,9.152218789,20.63,4.353,9.508853,78.53553
736259.50032033,0.0498329800320789,9.08217835,20.5,4.352,9.50888,78.535517
736259.50034348,0.0498561300337315,8.9400354968,20.47,4.344,9.5089,78.535507
736259.50036662,0.0498792700236663,8.9018953591,20.57,4.341,9.50892,78.535497
736259.50038977,0.0499024200253189,8.7982350937,20.43,4.347,9.508948,78.535485
736259.50041292,0.0499255700269714,8.7799349106,20.4,4.354,9.50896,78.535475
736259.50043606,0.0499487100169063,8.6862963173,20.53,4.36,9.508967,78.535463
736259.50045921,0.0499718600185588,8.5940915813,20.55,4.363,9.508977,78.53545
736259.50048235,0.0499950000084937,8.4923954848,20.57,4.362,9.508987,78.535437
736259.5005055,0.0500181500101462,8.4008493148,20.33,4.364,9.508997,78.535427
736259.50052865,0.0500413000117987,8.2574015745,20.27,4.368,9.50901,78.535413
736259.50055179,0.0500644400017336,8.0877612508,20.27,4.363,9.50903,78.5354
736259.50057494,0.0500875900033861,7.9593226653,20.47,4.355,9.509047,78.535393
736259.50059808,0.050110729993321,7.8291768234,20.23,4.35,9.50906,78.53538
736259.50062123,0.0501338799949735,7.7043013894,20.37,4.35,9.509073,78.535367
736259.50064437,0.0501570199849084,7.5531794331,20.33,4.354,9.509087,78.535353
736259.50066752,0.0501801699865609,7.4873245443,20.33,4.353,9.5091,78.535343
736259.50069067,0.0502033199882135,7.4304625885,20.27,4.35,9.509117,78.53533
736259.50071381,0.0502264599781483,7.3852307375,20.43,4.348,9.509127,78.535317
736259.50073696,0.0502496099798009,7.3534490281,20.37,4.347,9.50914,78.535303
736259.5007601,0.0502727499697357,7.3103258908,20.2,4.349,9.509163,78.53529
736259.50078325,0.0502958999713883,7.3083602373,20.2,4.349,9.509175,78.53528
736259.5008064,0.0503190499730408,7.3429895566,20.3,4.346,9.50919,78.53527
736259.50082954,0.0503421899629757,7.4227957573,20.37,4.345,9.509218,78.535255
736259.50085269,0.0503653399646282,7.5278408154,20.15,4.346,9.50923,78.535245
736259.50087583,0.0503884799545631,7.5421383244,20.2,4.346,9.50924,78.535237
736259.50089898,0.0504116299562156,7.5775625799,20.27,4.346,9.50926,78.535223
736259.50092212,0.0504347699461505,7.5626300856,20.23,4.347,9.50928,78.53521
736259.50094527,0.050457919947803,7.6179980665,20.23,4.346,9.509293,78.535203
736259.50096842,0.0504810699494556,7.6869818775,20.2,4.346,9.50931,78.535193
736259.50099156,0.0505042100558057,7.7736785182,20.23,4.347,9.50933,78.535183
736259.50101471,0.0505273600574583,7.8082066336,20.3,4.35,9.50935,78.535173
736259.50103785,0.0505505000473931,7.8301614932,20.33,4.355,9.50937,78.535163
736259.501061,0.0505736500490457,7.7918991562,20.33,4.357,9.50939,78.53515
736259.50108415,0.0505968000506982,7.7123962569,20.33,4.356,9.50941,78.535137
736259.50110729,0.0506199400406331,7.6943479152,20.27,4.357,9.509437,78.535123
736259.50113044,0.0506430900422856,7.6188801465,20.13,4.356,9.50946,78.535117
736259.50115358,0.0506662300322205,7.5937691276,20.13,4.353,9.50948,78.5351
736259.50117673,0.050689380033873,7.5374911306,20.23,4.351,9.509503,78.535087
736259.50119987,0.0507125200238079,7.4526288962,20.1,4.352,9.509525,78.535075
736259.50122302,0.0507356700254604,7.3203567978,20.17,4.352,9.509545,78.535065
736259.50124617,0.050758820027113,7.2789200774,20.17,4.35,9.50956,78.535057
736259.50126931,0.0507819600170478,7.161791712,20.2,4.347,9.509585,78.53504
736259.50129246,0.0508051100187004,7.0365004692,20.07,4.35,9.50961,78.53503
736259.5013156,0.0508282500086352,6.9800459802,20.2,4.348,9.50963,78.53502
736259.50133875,0.0508514000102878,6.9226635571,20.17,4.345,9.50965,78.535003
736259.5013619,0.0508745500119403,6.8752549706,20.13,4.347,9.509675,78.53499
736259.50138504,0.0508976900018752,6.82767777,20,4.349,9.509697,78.534983
736259.50140819,0.0509208400035277,6.7812733243,19.9,4.352,9.50972,78.534973
736259.50143133,0.0509439799934626,6.7013617134,20,4.354,9.50974,78.53496
736259.50145448,0.0509671299951151,6.7178555949,20.13,4.354,9.50976,78.534943
736259.50147762,0.05099026998505,6.6401733781,20.2,4.356,9.50978,78.534933
736259.50150077,0.0510134199867025,6.6300001601,20,4.359,9.5098,78.53492
736259.50152392,0.051036569988355,6.6063816441,20,4.36,9.509817,78.534907
736259.50154706,0.0510597099782899,6.593523476,20.33,4.358,9.509837,78.534897
736259.50157021,0.0510828599799424,6.5464985799,20.3,4.357,9.509857,78.534883
736259.50159335,0.0511059999698773,6.5098817025,20.1,4.358,9.509873,78.53487
736259.5016165,0.0511291499715298,6.4605560887,19.97,4.358,9.5099,78.534853
736259.50163965,0.0511522999731824,6.3532551045,19.87,4.359,9.509915,78.53484
736259.50166279,0.0511754399631172,6.3184935929,19.9,4.363,9.509925,78.534825
736259.50168594,0.0511985899647698,6.2537811214,20.1,4.369,9.50994,78.534813
736259.50170908,0.0512217299547046,6.2258838754,20.17,4.373,9.509965,78.5348
736259.50173223,0.0512448799563572,6.2240992077,20.03,4.376,9.509985,78.534785
736259.50175538,0.0512680299580097,6.2111714436,20,4.378,9.51,78.534773
736259.50177852,0.0512911699479446,6.224829907,19.97,4.377,9.510025,78.53476
736259.50180167,0.0513143199495971,6.1828375515,19.97,4.374,9.510045,78.53475
736259.50182481,0.0513374600559473,6.1300667356,20.03,4.369,9.51006,78.53474
736259.50184796,0.0513606100575998,6.0082372444,20,4.366,9.51008,78.534723
736259.5018711,0.0513837500475347,6.0297512593,19.95,4.365,9.5101,78.534713
736259.50189425,0.0514069000491872,6.0709871121,19.9,4.36,9.510127,78.5347
736259.5019174,0.0514300500508398,6.0781629397,19.9,4.359,9.510153,78.534683
736259.50194054,0.0514531900407746,6.0853387673,19.77,4.364,9.510187,78.534673
736259.50196369,0.0514763400424272,6.0371409018,19.7,4.367,9.510217,78.53466
736259.50198683,0.051499480032362,6.0443568567,19.93,4.368,9.51025,78.534647
736259.50200998,0.0515226300340146,5.9727125855,19.97,4.369,9.51028,78.534633
736259.50203312,0.0515457700239494,5.9985182779,19.97,4.37,9.5103,78.53462
736259.50205627,0.051568920025602,6.0492041771,19.93,4.368,9.510323,78.534607
736259.50207942,0.0515920700272545,6.1607508597,19.93,4.366,9.51036,78.53459
736259.50210256,0.0516152100171894,6.1719411463,19.87,4.366,9.510385,78.534575
736259.50212571,0.0516383600188419,6.1994206285,19.87,4.365,9.510403,78.534567
736259.50214885,0.0516615000087768,6.1712057477,19.77,4.367,9.51044,78.53455
736259.502172,0.0516846500104293,6.1980689029,19.53,4.368,9.510465,78.53454
736259.50219515,0.0517078000120819,6.2383541021,19.53,4.368,9.510487,78.53453
736259.50221829,0.0517309400020167,6.2713914615,19.7,4.37,9.510517,78.534513
736259.50224144,0.0517540900036693,6.2551882758,19.5,4.372,9.510543,78.534503
736259.50226458,0.0517772299936041,6.2805587228,19.7,4.375,9.51057,78.53449
736259.50228773,0.0518003799952567,6.281048963,19.7,4.373,9.510593,78.534477
736259.50231087,0.0518235199851915,6.3465741588,19.67,4.366,9.510623,78.53446
736259.50233402,0.0518466699868441,6.3622549742,19.8,4.357,9.510657,78.534447
736259.50235717,0.0518698199884966,6.3314766861,19.85,4.347,9.51068,78.53443
736259.50238031,0.0518929599784315,6.3627512852,19.85,4.34,9.5107,78.534417
736259.50240346,0.051916109980084,6.3128463835,19.77,4.338,9.510723,78.534403
736259.5024266,0.0519392499700189,6.2979325262,19.7,4.337,9.51075,78.53439
736259.50244975,0.0519623999716714,6.3192199238,19.7,4.339,9.510773,78.53437
736259.5024729,0.0519855499733239,6.3392296619,19.7,4.341,9.510803,78.534357
736259.50249604,0.0520086899632588,6.3120184701,19.67,4.341,9.51083,78.53434
736259.50251919,0.0520318399649113,6.284710841,19.7,4.341,9.510858,78.534323
736259.50254233,0.0520549799548462,6.2134434987,19.57,4.341,9.510885,78.53431
736259.50256548,0.0520781299564987,6.2504419646,19.7,4.344,9.510903,78.5343
736259.50258862,0.0521012699464336,6.3073710502,19.8,4.349,9.510935,78.53428
736259.50261177,0.0521244199480861,6.3842427356,19.63,4.356,9.51096,78.534265
736259.50263492,0.0521475699497387,6.473472369,19.63,4.364,9.51098,78.534257
736259.50265806,0.0521707100560889,6.5730083656,19.73,4.359,9.511007,78.53424
736259.50268121,0.0521938600577414,6.6508100538,19.67,4.35,9.51103,78.534227
736259.50270435,0.0522170000476763,6.7930474058,19.67,4.347,9.511057,78.534213
736259.5027275,0.0522401500493288,6.9106930665,19.67,4.346,9.511087,78.5342
736259.50275065,0.0522633000509813,7.0579365572,19.67,4.347,9.511117,78.53418
736259.50277379,0.0522864400409162,7.2395731972,19.73,4.348,9.511143,78.534167
736259.50279694,0.0523095900425687,7.3466343006,19.73,4.347,9.51117,78.534153
736259.50282008,0.0523327300325036,7.420909086,19.83,4.345,9.5112,78.53414
736259.50284323,0.0523558800341561,7.4538280257,19.63,4.35,9.511243,78.534123
736259.50286637,0.052379020024091,7.5004904822,19.55,4.36,9.51127,78.53411
736259.50288952,0.0524021700257435,7.4413102963,19.65,4.373,9.511297,78.534093
736259.50291267,0.0524253200273961,7.3931932957,19.57,4.381,9.51132,78.534083
736259.50293581,0.0524484600173309,7.3240138251,19.53,4.369,9.511347,78.53407
736259.50295896,0.0524716100189835,7.2462974615,19.53,4.359,9.51139,78.534053
736259.5029821,0.0524947500089183,7.1479764387,19.4,4.357,9.51142,78.534045
736259.50300525,0.0525179000105709,7.0152622666,19.43,4.355,9.511423,78.53403
736259.5030284,0.0525410500122234,6.9106350951,19.7,4.354,9.51144,78.534017
736259.50305154,0.0525641900021583,6.8274742778,19.7,4.354,9.511463,78.534003
736259.50307469,0.0525873400038108,6.7763059024,19.67,4.355,9.511493,78.53399
736259.50309783,0.0526104799937457,6.7869790587,19.67,4.359,9.511523,78.53397
736259.50312098,0.0526336299953982,6.9154529329,19.63,4.362,9.511557,78.533957
736259.50314412,0.0526567699853331,6.9956740566,19.57,4.365,9.511583,78.533947
736259.50316727,0.0526799199869856,7.1436707171,19.33,4.369,9.511613,78.53393
736259.50319042,0.0527030699886382,7.3077964055,19.3,4.367,9.511643,78.533913
736259.50321356,0.052726209978573,7.4989889165,19.47,4.364,9.51167,78.533903
736259.50323671,0.0527493599802256,7.6368915436,19.43,4.364,9.51169,78.53389
736259.50325985,0.0527724999701604,7.7628612789,19.53,4.362,9.511717,78.533873
736259.503283,0.052795649971813,7.930224127,19.5,4.359,9.511743,78.53386
736259.50330615,0.0528187999734655,8.1237009564,19.4,4.355,9.51177,78.53384
736259.50332929,0.0528419399634004,8.2334095119,19.47,4.354,9.51179,78.533827
736259.50335244,0.0528650899650529,8.3234342861,19.47,4.354,9.51181,78.533813
736259.50337558,0.0528882299549878,8.3949923082,19.55,4.353,9.51183,78.5338
736259.50339873,0.0529113799566403,8.4851237635,19.45,4.354,9.511863,78.53378
736259.50342187,0.0529345199465752,8.5438978483,19.33,4.355,9.51189,78.533765
736259.50344502,0.0529576699482277,8.6036799364,19.1,4.355,9.511913,78.53375
736259.50346817,0.0529808199498802,8.728785228,19.27,4.355,9.511943,78.533733
736259.50349131,0.0530039600562304,8.8401709616,19.53,4.356,9.511977,78.53372
736259.50351446,0.053027110057883,8.8582629832,19.4,4.357,9.512,78.5337
736259.5035376,0.0530502500478178,8.8345453694,19.33,4.357,9.512023,78.533683
736259.50356075,0.0530734000494704,8.7934527317,19.43,4.358,9.51205,78.53367
736259.5035839,0.0530965500511229,8.6972250563,19.3,4.36,9.512073,78.533653
736259.50360704,0.0531196900410578,8.6026217444,19.27,4.36,9.5121,78.53364
736259.50363019,0.0531428400427103,8.3613885582,19.43,4.36,9.512127,78.533627
736259.50365333,0.0531659800326452,8.1946773144,19.43,4.361,9.512157,78.533613
736259.50367648,0.0531891300342977,8.0038177542,19.27,4.365,9.51219,78.533603
736259.50369962,0.0532122700242326,7.7514196514,19.37,4.366,9.51223,78.53359
736259.50372277,0.0532354200258851,7.5029987866,19.47,4.365,9.51226,78.533573
736259.50374592,0.0532585700275376,7.2832602235,19.38,4.363,9.512287,78.53356
736259.50376906,0.0532817100174725,7.0427514425,19.4,4.361,9.51232,78.533547
736259.50379221,0.053304860019125,6.8446711721,19.23,4.361,9.51235,78.53353
736259.50381535,0.0533280000090599,6.6902142428,19.1,4.364,9.512377,78.533517
736259.5038385,0.0533511500107124,6.5552730756,19.27,4.366,9.51241,78.5335
736259.50386165,0.053374300012365,6.47210642,19.4,4.364,9.51244,78.533485
736259.50388479,0.0533974400022998,6.380839807,19.23,4.36,9.512463,78.533473
736259.50390794,0.0534205900039524,6.2893856686,19.2,4.358,9.51249,78.53346
736259.50393108,0.0534437299938872,6.2240408094,19.33,4.36,9.512517,78.53344
736259.50395423,0.0534668799955398,6.1486316382,19.27,4.363,9.512537,78.533427
736259.50397737,0.0534900199854746,6.1145312872,19.13,4.362,9.51256,78.53341
736259.50400052,0.0535131699871272,6.1270653583,18.97,4.363,9.512563,78.53339
736259.50402367,0.0535363199887797,6.109570297,19.07,4.365,9.512553,78.53337
736259.50404681,0.0535594599787146,6.0660152305,19.1,4.369,9.512557,78.53335
736259.50406996,0.0535826099803671,6.0396191553,18.97,4.375,9.512567,78.533333
736259.5040931,0.053605749970302,6.0427919428,18.97,4.378,9.512593,78.53332
736259.50411625,0.0536288999719545,6.0011379451,19.07,4.379,9.51262,78.5333
736259.5041394,0.0536520499736071,5.9606977593,19.07,4.379,9.51264,78.533287
736259.50416254,0.0536751899635419,5.9404232666,19.13,4.377,9.512667,78.53327
736259.50418569,0.0536983399651945,5.9629232744,19.13,4.374,9.512693,78.533253
736259.50420883,0.0537214799551293,5.9145064651,19.08,4.373,9.512723,78.53324
736259.50423198,0.0537446299567819,5.8635702224,19.35,4.372,9.51276,78.53322
736259.50425512,0.0537677699467167,5.8929690194,19.2,4.369,9.512793,78.533203
736259.50427827,0.0537909199483693,5.8579810917,19.07,4.367,9.512823,78.53319
736259.50430142,0.0538140699500218,5.8505161093,19.1,4.366,9.512857,78.533177
736259.50432456,0.053837210056372,5.8087994335,19.27,4.365,9.512883,78.53316
736259.50434771,0.0538603600580245,5.7942901453,19.23,4.365,9.51291,78.533147
736259.50437085,0.0538835000479594,5.7865002669,19.07,4.365,9.51295,78.53313
736259.504394,0.0539066500496119,5.7819406392,19.17,4.365,9.513023,78.533113
736259.50441715,0.0539298000512645,5.7494621233,19,4.363,9.513063,78.5331
736259.50444029,0.0539529400411993,5.7480530657,19.07,4.363,9.513087,78.53308
736259.50446344,0.0539760900428519,5.792281949,19.23,4.365,9.5131,78.533067
736259.50448658,0.0539992300327867,5.7278772655,19.23,4.366,9.513123,78.533053
736259.50450973,0.0540223800344393,5.7435903005,18.9,4.367,9.51315,78.53304
736259.50453287,0.0540455200243741,5.7261059197,18.9,4.369,9.51317,78.533023
736259.50455602,0.0540686700260267,5.7740336201,18.9,4.372,9.51319,78.53301
736259.50457917,0.0540918200276792,5.7821303823,18.9,4.372,9.51321,78.532997
736259.50460231,0.0541149600176141,5.8166359276,18.93,4.372,9.51323,78.53298
736259.50462546,0.0541381100192666,5.8284536029,18.87,4.373,9.513253,78.532967
736259.5046486,0.0541612500092015,5.8484658232,18.93,4.375,9.513278,78.532945
736259.50467175,0.054184400010854,5.8111316759,18.75,4.377,9.513295,78.53293
736259.5046949,0.0542075500125065,5.7433686702,18.9,4.38,9.51331,78.53292
736259.50471804,0.0542306900024414,5.7490136228,18.97,4.381,9.513327,78.5329
736259.50474119,0.0542538400040939,5.7369291129,19.03,4.38,9.513333,78.532883
736259.50476433,0.0542769799940288,5.7425975325,18.9,4.379,9.51335,78.53287
736259.50478748,0.0543001299956813,5.6980515989,18.7,4.378,9.513363,78.532853
736259.50481062,0.0543232699856162,5.7122558513,18.6,4.376,9.51337,78.53284
736259.50483377,0.0543464199872687,5.6611185694,18.7,4.376,9.51338,78.532827
736259.50485692,0.0543695699889213,5.6422290049,18.7,4.375,9.5134,78.53281
736259.50488006,0.0543927099788561,5.6283868964,18.63,4.376,9.513417,78.532797
736259.50490321,0.0544158599805087,5.6634945772,18.83,4.379,9.51343,78.532787
736259.50492635,0.0544389999704435,5.6842582207,18.87,4.381,9.513447,78.53277
736259.5049495,0.0544621499720961,5.6560226178,18.77,4.379,9.513457,78.532757
736259.50497265,0.0544852999737486,5.6297854836,18.9,4.375,9.51348,78.532743
736259.50499579,0.0545084399636835,5.6239839817,18.73,4.375,9.51349,78.53273
736259.50501894,0.054531589965336,5.6227508077,18.68,4.378,9.513493,78.532713
736259.50504208,0.0545547299552709,5.6078000226,18.7,4.379,9.513503,78.5327
736259.50506523,0.0545778799569234,5.6064085726,18.7,4.38,9.513527,78.532687
736259.50508837,0.0546010199468583,5.6312524634,18.63,4.381,9.51355,78.53267
736259.50511152,0.0546241699485108,5.6542003753,18.47,4.382,9.51357,78.532657
736259.50513467,0.0546473199501634,5.6986910457,18.47,4.382,9.51359,78.53264
736259.50515781,0.0546704600565135,5.6990540513,18.53,4.381,9.513613,78.532627
736259.50518096,0.0546936100581661,5.7313085226,18.7,4.382,9.513643,78.532613
736259.5052041,0.0547167500481009,5.7647607278,18.83,4.383,9.51367,78.5326
736259.50522725,0.0547399000497535,5.7423516028,18.83,4.382,9.51369,78.532583
736259.5052504,0.054763050051406,5.7344281153,18.83,4.381,9.513713,78.53257
736259.50527354,0.0547861900413409,5.7250742918,19,4.382,9.51374,78.532557
736259.50529669,0.0548093400429934,5.7121366958,18.77,4.38,9.513763,78.532543
736259.50531983,0.0548324800329283,5.6852189683,18.83,4.375,9.51379,78.53253
736259.50534298,0.0548556300345808,5.6330938846,18.83,4.374,9.513813,78.532517
736259.50536612,0.0548787700245157,5.5936157734,18.5,4.374,9.51385,78.5325
736259.50538927,0.0549019200261682,5.588152681,18.73,4.369,9.513895,78.532483
736259.50541242,0.0549250700278208,5.5674086783,18.9,4.371,9.513925,78.53247
736259.50543556,0.0549482100177556,5.5928075648,18.8,4.377,9.513947,78.53246
736259.50545871,0.0549713600194082,5.6190931473,18.8,4.38,9.51397,78.53244
736259.50548185,0.054994500009343,5.6453787298,18.67,4.378,9.514,78.532427
